ChargesPerService,TotalCharges,tenure,Avg_charges,MonthlyCharges,PaymentMethod_Electronic check,Contract_Two year,InternetService_Fiber optic,TotalServices,gender,PaperlessBilling,Contract_One year,Partner,OnlineSecurity_Yes,SeniorCitizen,Churn
14.925,29.85,1,29.85,29.85,1,0,0,1,0,1,0,1,0,0,0
14.2375,1889.5,34,55.5735294117647,56.95,0,0,0,3,1,0,1,0,1,0,0
13.4625,108.15,2,54.075,53.85,0,0,0,3,1,1,0,0,1,0,1
10.575,1840.75,45,40.90555555555556,42.3,0,0,0,3,1,0,1,0,1,0,0
35.35,151.65,2,75.825,70.7,1,0,1,1,0,1,0,0,0,0,1
16.608333333333334,820.5,8,102.5625,99.65,1,0,1,5,0,1,0,0,0,0,1
17.82,1949.4,22,88.60909090909091,89.1,0,0,1,4,1,1,0,0,0,0,0
14.875,301.9,10,30.189999999999998,29.75,0,0,0,1,0,0,0,0,1,0,0
14.971428571428572,3046.05,28,108.78750000000001,104.8,1,0,1,6,0,1,0,1,0,0,1
14.0375,3487.95,62,56.25725806451613,56.15,0,0,0,3,1,0,1,0,1,0,0
16.650000000000002,587.45,13,45.18846153846154,49.95,0,0,0,2,1,1,0,1,1,0,0
9.475,326.8,16,20.425,18.95,0,1,0,1,1,0,0,0,0,0,0
16.724999999999998,5681.1,58,97.95,100.35,0,0,1,5,1,0,1,1,0,0,0
14.814285714285715,5036.3,49,102.78163265306122,103.7,0,0,1,6,1,1,0,0,0,0,1
15.071428571428571,2686.05,25,107.44200000000001,105.5,1,0,1,6,1,1,0,0,1,0,0
12.583333333333334,7895.15,69,114.42246376811593,113.25,0,1,1,8,0,0,0,1,1,0,0
10.325,1022.95,52,19.672115384615385,20.65,0,0,0,1,0,0,1,0,0,0,0
15.242857142857144,7382.25,71,103.97535211267606,106.7,0,1,1,6,1,0,0,0,1,0,0
13.8,528.35,10,52.835,55.2,0,0,0,3,0,0,0,1,0,0,1
18.009999999999998,1862.9,21,88.70952380952382,90.05,1,0,1,4,0,1,0,0,0,0,0
13.216666666666667,39.65,1,39.65,39.65,1,0,0,2,1,1,0,0,0,1,1
9.9,202.25,12,16.854166666666668,19.8,0,0,0,1,1,0,1,1,0,0,0
10.075,20.15,1,20.15,20.15,0,0,0,1,1,0,0,0,0,0,1
11.98,3505.1,58,60.432758620689654,59.9,0,1,0,4,0,1,0,1,0,0,0
11.92,2970.3,49,60.61836734693878,59.6,0,0,0,4,1,0,0,1,1,0,0
13.825,1530.6,30,51.019999999999996,55.3,0,0,0,3,0,1,0,0,1,0,0
16.558333333333334,4749.15,47,101.04574468085106,99.35,1,0,1,5,1,1,0,1,0,0,1
15.1,30.2,1,30.2,30.2,1,0,0,1,1,0,0,1,0,0,1
10.027777777777779,6369.45,72,88.46458333333334,90.25,0,1,0,8,1,1,0,1,1,0,0
16.175,1093.1,17,64.3,64.7,0,0,0,3,0,1,0,0,0,0,1
13.764285714285714,6766.95,71,95.30915492957746,96.35,0,1,1,6,0,1,0,1,1,1,0
19.1,181.65,2,90.825,95.5,0,0,1,4,1,1,0,1,0,1,0
11.025,1874.45,27,69.42407407407407,66.15,0,0,0,5,0,0,1,1,1,0,0
10.1,20.2,1,20.2,20.2,0,0,0,1,1,0,0,0,0,0,0
22.625,45.25,1,45.25,45.25,0,0,0,1,1,0,0,0,0,1,0
14.271428571428572,7251.7,72,100.71805555555555,99.9,0,1,1,6,0,0,0,1,1,0,0
34.85,316.9,5,63.379999999999995,69.7,1,0,1,1,1,1,0,0,0,0,1
24.933333333333334,3548.3,46,77.13695652173914,74.8,0,0,1,2,0,1,0,0,0,0,0
15.192857142857141,3549.25,34,104.38970588235294,106.35,1,0,1,6,1,1,0,0,0,0,1
16.308333333333334,1105.4,11,100.4909090909091,97.85,0,0,1,5,0,1,0,0,0,0,1
16.516666666666666,475.7,10,47.57,49.55,0,0,0,2,1,0,1,1,0,0,0
11.533333333333333,4872.35,70,69.605,69.2,0,1,0,5,0,1,0,1,1,0,0
10.375,418.25,17,24.602941176470587,20.75,0,0,0,1,0,0,1,1,0,0,0
9.98125,4861.45,63,77.16587301587302,79.85,0,1,0,7,0,1,0,0,1,0,0
10.885714285714286,981.45,13,75.49615384615385,76.2,1,0,0,6,0,1,0,1,1,0,0
21.125,3906.7,49,79.72857142857143,84.5,1,0,1,3,0,1,0,0,0,0,0
16.416666666666668,97.0,2,48.5,49.25,0,0,0,2,1,0,0,0,0,0,0
26.883333333333336,144.15,2,72.075,80.65,1,0,1,2,0,1,0,0,0,0,1
11.392857142857142,4217.8,52,81.11153846153846,79.75,0,1,0,6,1,1,0,0,1,0,0
10.691666666666668,4254.1,69,61.6536231884058,64.15,0,1,0,5,0,1,0,1,1,0,0
18.05,3838.75,43,89.27325581395348,90.25,1,0,1,4,0,1,0,0,0,1,0
16.516666666666666,1426.4,15,95.09333333333333,99.1,0,0,1,5,0,1,0,0,1,0,1
11.583333333333334,1752.65,25,70.10600000000001,69.5,0,0,0,5,0,1,0,1,1,1,0
20.1625,633.3,8,79.1625,80.65,0,0,1,3,0,1,0,1,0,1,1
10.692857142857141,4456.35,60,74.27250000000001,74.85,0,0,0,6,0,1,1,1,1,1,0
19.09,1752.55,18,97.36388888888888,95.45,1,0,1,4,1,1,0,0,0,1,1
16.608333333333334,6311.2,63,100.17777777777778,99.65,0,0,1,5,0,1,1,1,1,0,0
13.55625,7076.35,66,107.21742424242424,108.45,1,0,1,7,1,1,1,1,0,1,0
8.316666666666666,894.3,34,26.302941176470586,24.95,0,1,0,2,0,0,0,1,0,0,0
15.357142857142858,7853.7,72,109.07916666666667,107.5,0,1,1,6,0,1,0,0,0,0,0
16.75,4707.1,47,100.15106382978725,100.5,1,0,1,5,0,1,0,1,0,0,0
17.98,5450.7,60,90.845,89.9,0,0,1,4,1,1,0,0,0,0,0
10.525,2962.0,72,41.138888888888886,42.1,0,1,0,3,1,0,0,1,1,0,0
13.6,957.1,18,53.172222222222224,54.4,0,0,0,3,0,1,1,1,0,0,0
18.880000000000003,857.25,9,95.25,94.4,1,0,1,4,0,0,0,0,0,0,1
12.549999999999999,244.1,3,81.36666666666666,75.3,1,0,0,5,0,1,0,0,0,0,0
19.725,3650.35,47,77.66702127659575,78.9,1,0,1,3,1,1,1,1,0,0,0
11.314285714285715,2497.2,31,80.55483870967741,79.2,0,1,0,6,0,0,0,0,0,0,0
10.075,930.9,50,18.618,20.15,0,1,0,1,0,0,0,1,0,0,0
19.9625,887.35,10,88.735,79.85,0,0,1,3,1,1,0,0,1,0,0
16.349999999999998,49.05,1,49.05,49.05,0,0,0,2,1,0,0,0,0,0,0
10.2,1090.65,52,20.974038461538463,20.4,1,0,0,1,0,1,1,1,0,0,0
13.95,7099.0,64,110.921875,111.6,0,1,1,7,1,1,0,1,1,1,0
8.083333333333334,1424.6,62,22.97741935483871,24.25,0,1,0,2,1,1,0,1,0,0,0
12.9,177.4,3,59.13333333333333,64.5,0,0,0,4,0,1,0,0,1,0,0
13.8125,6139.5,56,109.63392857142857,110.5,1,0,1,7,0,0,1,0,1,1,0
18.55,2688.85,46,58.45326086956521,55.65,0,0,0,2,0,0,1,0,0,0,0
13.6625,482.25,8,60.28125,54.65,0,0,0,3,0,0,0,1,1,0,0
12.458333333333334,2111.3,30,70.37666666666668,74.75,1,0,0,5,1,1,0,0,1,1,0
8.633333333333333,1216.6,45,27.035555555555554,25.9,0,0,0,2,0,1,1,1,0,0,0
26.45,79.35,1,79.35,79.35,1,0,1,2,0,1,0,0,0,0,1
12.6375,565.35,11,51.39545454545455,50.55,1,0,0,3,0,0,0,1,1,0,0
25.05,496.9,7,70.98571428571428,75.15,0,0,1,2,0,1,0,1,0,0,1
14.828571428571427,4327.5,42,103.03571428571429,103.8,0,0,1,6,0,1,0,0,0,0,0
10.075,973.35,49,19.864285714285714,20.15,0,1,0,1,0,1,0,1,0,0,0
16.55,918.75,9,102.08333333333333,99.3,0,0,1,5,1,1,0,0,0,0,0
15.5375,2215.45,35,63.29857142857142,62.15,0,0,0,3,0,1,1,1,1,0,0
10.325,1057.0,48,22.020833333333332,20.65,0,1,0,1,0,0,0,1,0,0,0
9.975,927.1,46,20.15434782608696,19.95,0,1,0,1,0,1,0,1,0,0,0
16.875,1009.25,29,34.80172413793103,33.75,0,0,0,1,1,0,0,1,0,0,0
20.5125,2570.2,30,85.67333333333333,82.05,0,0,1,3,1,0,0,1,0,0,0
24.900000000000002,74.7,1,74.7,74.7,1,0,1,2,1,0,0,0,0,1,0
10.5,5714.25,66,86.57954545454545,84.0,0,1,0,7,1,1,0,1,1,0,0
13.88125,7107.0,65,109.33846153846154,111.05,0,0,1,7,0,1,0,0,1,0,0
14.414285714285715,7459.05,72,103.59791666666666,100.9,0,1,1,6,1,1,0,0,0,0,0
19.7375,927.35,12,77.27916666666667,78.95,1,0,1,3,0,1,0,0,1,0,1
11.141666666666666,4748.7,71,66.8830985915493,66.85,0,0,0,5,1,1,1,1,1,0,0
10.525,113.85,5,22.77,21.05,0,0,0,1,1,0,0,0,0,0,1
10.5,1107.2,52,21.292307692307695,21.0,0,1,0,1,1,0,0,0,0,0,0
16.416666666666668,2514.5,25,100.58,98.5,1,0,1,5,0,1,0,1,0,1,1
10.1,20.2,1,20.2,20.2,0,0,0,1,1,0,0,0,0,0,0
9.725,19.45,1,19.45,19.45,1,0,0,1,0,0,0,1,0,0,0
15.833333333333334,3605.6,38,94.88421052631578,95.0,0,0,1,5,1,0,1,0,0,0,0
11.3875,3027.25,66,45.86742424242424,45.55,0,0,0,3,0,0,1,1,0,1,0
13.75,7611.85,68,111.93897058823529,110.0,0,1,1,7,1,1,0,1,0,0,1
24.3,100.2,5,20.04,24.3,0,0,0,0,1,0,0,0,0,0,0
14.87857142857143,7303.05,72,101.43125,104.15,1,0,1,6,0,1,1,1,1,0,0
15.075,927.65,32,28.9890625,30.15,0,0,0,1,0,0,1,0,1,0,0
18.869999999999997,3921.3,43,91.19302325581396,94.35,0,0,1,4,1,0,1,0,0,0,0
9.7,1363.25,72,18.93402777777778,19.4,0,1,0,1,1,0,0,1,0,0,0
16.125,5238.9,55,95.25272727272727,96.75,1,0,1,5,1,1,0,1,1,0,1
11.59,3042.25,52,58.50480769230769,57.95,0,0,0,4,0,0,1,0,1,0,0
18.330000000000002,3954.1,43,91.95581395348837,91.65,1,0,1,4,0,1,0,0,0,0,0
25.5,2868.15,37,77.51756756756757,76.5,1,0,1,2,0,1,0,1,0,1,1
10.92,3423.5,64,53.4921875,54.6,1,1,0,4,0,1,0,1,0,0,0
17.97,248.4,3,82.8,89.85,1,0,1,4,1,0,0,1,1,0,0
15.525,1126.35,36,31.287499999999998,31.05,0,1,0,1,0,0,0,0,1,0,0
16.708333333333332,1064.65,10,106.465,100.25,1,0,1,5,0,1,0,1,1,0,1
10.325,835.15,41,20.36951219512195,20.65,0,1,0,1,0,0,0,0,0,0,0
17.04,2151.6,27,79.68888888888888,85.2,0,0,1,4,1,1,0,1,0,0,0
16.633333333333333,5515.45,56,98.49017857142857,99.8,0,0,1,5,0,1,1,1,0,0,0
10.35,112.75,6,18.791666666666668,20.7,0,0,0,1,0,0,0,0,0,0,0
24.8,229.55,3,76.51666666666667,74.4,1,0,1,2,1,1,0,0,0,0,1
16.900000000000002,350.35,7,50.050000000000004,50.7,0,0,0,2,0,0,0,1,1,0,0
10.425,62.9,4,15.725,20.85,0,0,0,1,0,0,0,1,0,0,0
17.79,3027.65,33,91.7469696969697,88.95,1,1,1,4,1,1,0,0,1,0,0
19.5125,2135.5,27,79.0925925925926,78.05,1,0,1,3,0,1,0,0,0,1,1
7.8500000000000005,1723.95,72,23.94375,23.55,0,1,0,2,1,1,0,1,0,0,0
9.875,19.75,1,19.75,19.75,0,0,0,1,1,0,0,0,0,0,0
11.290000000000001,3985.35,71,56.131690140845066,56.45,1,0,0,4,1,1,1,0,1,1,0
21.4875,1215.65,13,93.51153846153846,85.95,1,0,1,3,0,1,0,0,0,0,0
9.766666666666667,1502.65,25,60.106,58.6,0,0,0,5,0,1,0,1,1,0,1
16.849999999999998,3260.1,67,48.65820895522388,50.55,0,1,0,2,1,0,0,0,0,0,0
17.725,35.45,1,35.45,35.45,1,0,0,1,1,1,0,0,0,0,1
22.175,81.25,2,40.625,44.35,1,0,0,1,1,0,0,0,0,0,1
8.566666666666666,1188.2,43,27.632558139534886,25.7,0,1,0,2,0,1,0,0,0,0,0
25.0,1778.5,23,77.32608695652173,75.0,0,0,1,2,0,1,0,0,1,0,0
10.1,1277.75,64,19.96484375,20.2,0,1,0,1,0,0,0,1,0,0,0
9.8,1170.55,57,20.5359649122807,19.6,0,1,0,1,1,1,0,0,0,0,0
35.225,70.45,1,70.45,70.45,0,0,1,1,0,1,0,1,0,1,1
9.783333333333333,6425.65,72,89.24513888888889,88.05,0,1,0,8,0,1,0,1,1,1,0
11.858333333333334,563.65,8,70.45625,71.15,1,0,0,5,0,0,0,0,1,0,1
16.841666666666665,5971.25,61,97.88934426229508,101.05,0,1,1,5,0,1,0,1,0,0,0
16.86,5289.05,64,82.64140625,84.3,0,0,1,4,1,1,1,0,1,0,0
7.983333333333333,1756.2,71,24.735211267605635,23.95,0,1,0,2,1,0,0,1,0,1,0
14.15,6416.7,65,98.71846153846154,99.05,0,1,1,6,0,1,0,1,1,0,0
9.8,61.35,3,20.45,19.6,0,0,0,1,1,0,1,0,0,0,0
22.825,45.65,1,45.65,45.65,1,0,0,1,1,1,0,0,0,0,1
12.9,1929.95,30,64.33166666666666,64.5,0,0,0,4,1,0,1,0,0,0,0
11.583333333333334,1071.4,15,71.42666666666668,69.5,0,0,0,5,1,1,0,1,0,0,0
13.709999999999999,564.35,8,70.54375,68.55,1,0,0,4,0,1,0,1,0,0,0
19.0,655.5,7,93.64285714285714,95.0,0,0,1,4,1,0,0,0,0,0,1
13.51875,7930.55,70,113.29357142857143,108.15,0,0,1,7,0,1,1,1,1,0,0
10.7625,5215.25,62,84.11693548387096,86.1,1,1,0,7,1,0,0,1,1,0,0
9.85,113.5,6,18.916666666666668,19.7,0,0,0,1,0,0,0,1,0,0,0
26.96666666666667,1152.8,14,82.34285714285714,80.9,0,0,1,2,0,1,0,1,0,0,0
21.0375,1821.95,22,82.81590909090909,84.15,0,0,1,3,0,1,0,0,0,0,0
10.075,419.9,22,19.086363636363636,20.15,0,0,0,1,1,0,1,1,0,0,0
12.85,1024.0,16,64.0,64.25,0,1,0,4,1,0,0,1,1,0,0
8.566666666666666,251.6,10,25.16,25.7,0,1,0,2,1,0,0,0,0,0,0
14.0,764.55,13,58.81153846153846,56.0,1,0,0,3,0,1,0,0,1,0,0
